departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 10:50, 2025-09-29 11:26, 0, taxi, 36, walk, 00
2025-09-29 10:55, 2025-09-29 11:31, 0, taxi, 36, walk, 00
2025-09-29 11:00, 2025-09-29 11:36, 0, taxi, 36, walk, 00
2025-09-29 11:05, 2025-09-29 11:41, 0, taxi, 36, walk, 00
2025-09-29 11:09, 2025-09-29 11:57, 1, walk, 03, taxi, 12
2025-09-29 11:09, 2025-09-29 12:03, 1, walk, 03, walk, 06
2025-09-29 11:10, 2025-09-29 11:46, 0, taxi, 36, walk, 00
2025-09-29 11:13, 2025-09-29 12:03, 1, taxi, 32, walk, 06
2025-09-29 11:13, 2025-09-29 12:06, 1, taxi, 32, walk, 08
2025-09-29 11:15, 2025-09-29 11:51, 0, taxi, 36, walk, 00
2025-09-29 11:16, 2025-09-29 12:03, 1, taxi, 32, walk, 06
2025-09-29 11:18, 2025-09-29 12:13, 1, taxi, 35, walk, 14
2025-09-29 11:20, 2025-09-29 11:56, 0, taxi, 36, walk, 00
2025-09-29 11:20, 2025-09-29 12:26, 2, taxi, 35, walk, 06
2025-09-29 11:25, 2025-09-29 12:01, 0, taxi, 36, walk, 00
2025-09-29 11:30, 2025-09-29 12:06, 0, taxi, 36, walk, 00
2025-09-29 11:33, 2025-09-29 12:28, 1, taxi, 35, walk, 14
2025-09-29 11:35, 2025-09-29 12:11, 0, taxi, 36, walk, 00
2025-09-29 11:40, 2025-09-29 12:16, 0, taxi, 36, walk, 00
2025-09-29 11:43, 2025-09-29 12:33, 1, taxi, 32, walk, 06
2025-09-29 11:43, 2025-09-29 12:36, 1, taxi, 32, walk, 08
2025-09-29 11:45, 2025-09-29 12:21, 0, taxi, 36, walk, 00
2025-09-29 11:46, 2025-09-29 12:33, 1, taxi, 32, walk, 06
2025-09-29 11:50, 2025-09-29 12:26, 0, taxi, 36, walk, 00
2025-09-29 11:55, 2025-09-29 12:31, 0, taxi, 36, walk, 00
2025-09-29 12:00, 2025-09-29 12:36, 0, taxi, 36, walk, 00
2025-09-29 12:03, 2025-09-29 12:51, 1, walk, 03, taxi, 08
2025-09-29 12:03, 2025-09-29 13:03, 1, walk, 03, walk, 06
2025-09-29 12:05, 2025-09-29 12:41, 0, taxi, 36, walk, 00
2025-09-29 12:10, 2025-09-29 12:46, 0, taxi, 36, walk, 00
2025-09-29 12:13, 2025-09-29 13:03, 1, taxi, 32, walk, 06
2025-09-29 12:13, 2025-09-29 13:06, 1, taxi, 32, walk, 08
2025-09-29 12:15, 2025-09-29 12:51, 0, taxi, 36, walk, 00
2025-09-29 12:16, 2025-09-29 13:03, 1, taxi, 32, walk, 06
2025-09-29 12:18, 2025-09-29 13:13, 1, taxi, 35, walk, 14
2025-09-29 12:20, 2025-09-29 12:56, 0, taxi, 36, walk, 00
2025-09-29 12:25, 2025-09-29 13:01, 0, taxi, 36, walk, 00
2025-09-29 12:30, 2025-09-29 13:06, 0, taxi, 36, walk, 00
2025-09-29 12:35, 2025-09-29 13:11, 0, taxi, 36, walk, 00
2025-09-29 12:39, 2025-09-29 13:28, 1, taxi, 35, walk, 08
2025-09-29 12:40, 2025-09-29 13:16, 0, taxi, 36, walk, 00
2025-09-29 12:45, 2025-09-29 13:21, 0, taxi, 36, walk, 00
2025-09-29 12:50, 2025-09-29 13:26, 0, taxi, 36, walk, 00
2025-09-29 12:55, 2025-09-29 13:31, 0, taxi, 36, walk, 00
2025-09-29 13:00, 2025-09-29 13:36, 0, taxi, 36, walk, 00
